타겟라벨,타겟동,타겟명,차트라벨,평형그룹,전용평수,계약일자,거래금액(만원),아파트,전용면적(평),전용면적(㎡),층,건축년도,법정동,지번,도로명,지역코드,조회지역코드,조회계약년월,계약년,계약월,계약일
반포동·퍼스티지,반포동,퍼스티지,퍼스티지(24평형),24평형,18.1,20260131,435000.0,래미안퍼스티지,18.1,59.96,21,2009,반포동,18-1,반포대로,11650,11650,202601,2026,01,31
반포동·퍼스티지,반포동,퍼스티지,퍼스티지(34평형),34평형,25.7,20260117,470000.0,래미안퍼스티지,25.7,84.93,15,2009,반포동,18-1,반포대로,11650,11650,202601,2026,01,17
반포동·퍼스티지,반포동,퍼스티지,퍼스티지(34평형),34평형,25.7,20260221,570000.0,래미안퍼스티지,25.7,84.93,13,2009,반포동,18-1,반포대로,11650,11650,202602,2026,02,21
반포동·퍼스티지,반포동,퍼스티지,퍼스티지(24평형),24평형,18.1,20260203,445000.0,래미안퍼스티지,18.1,59.89,15,2009,반포동,18-1,반포대로,11650,11650,202602,2026,02,03
반포동·퍼스티지,반포동,퍼스티지,퍼스티지(24평형),24평형,18.1,20260204,409000.0,래미안퍼스티지,18.1,59.96,1,2009,반포동,18-1,반포대로,11650,11650,202602,2026,02,04
반포동·퍼스티지,반포동,퍼스티지,퍼스티지(34평형),34평형,25.7,20260203,575000.0,래미안퍼스티지,25.7,84.93,9,2009,반포동,18-1,반포대로,11650,11650,202602,2026,02,03
반포동·퍼스티지,반포동,퍼스티지,퍼스티지(34평형),34평형,25.7,20260307,550000.0,래미안퍼스티지,25.7,84.93,21,2009,반포동,18-1,반포대로,11650,11650,202603,2026,03,07
서초동·리더스원,서초동,리더스원,리더스원(34평형),34평형,25.7,20260213,380000.0,래미안 리더스원,25.7,84.94,17,2020,서초동,1755,서운로,11650,11650,202602,2026,02,13
서초동·리더스원,서초동,리더스원,리더스원(24평형),24평형,18.1,20260205,325000.0,래미안 리더스원,18.1,59.97,13,2020,서초동,1755,서운로,11650,11650,202602,2026,02,05
서초동·리더스원,서초동,리더스원,리더스원(24평형),24평형,18.1,20260207,324000.0,래미안 리더스원,18.1,59.96,19,2020,서초동,1755,서운로,11650,11650,202602,2026,02,07
